"SAMP,C,20","SDATA,N,19,5","ADATA,N,19,5","USE,N,19,5","SEX,C,10","AGE,C,10","UTM_X,N,19,11","UTM_Y,N,19,11"
PN149,1,1,1,M,,235058.669323,3669628.03411
PN150,1,1,1,M,,264421.028328,3678721.4096
PN151,1,1,1,M,,255498.109579,3685073.62046
PN153,1,1,1,F,,446877.524571,3633926.72016
PN155,1,1,1,M,,447714.533999,3648444.63519
PN156,1,1,1,M,,447343.942326,3646387.02226
PN157,1,1,1,F,,443,3690
PN158,1,1,1,F,,435,3715
PN160,1,1,1,M,,481,3715
PN161,1,1,1,F,,488,3710
PN162,1,1,1,F,,430,3725
PN164,1,1,1,M,,440,3744
